name,location,county,country,type,description,price_range,opening_hours,nearby_hotels,tips,combined_text
Nairobi National Park,Nairobi,Nairobi,Kenya,National Park,Only national park in the world bordering a capital city. Home to lions rhinos leopards and over 400 bird species with Nairobi skyline as backdrop,20-50 USD,6am-6pm daily,Ole Sereni|Eka Hotel|Hilton Nairobi,Go early morning for best wildlife sightings. Free entry for children under 3,"Attraction: Nairobi National Park. Location: Nairobi, Kenya. Type: National Park. Description: Only national park in the world bordering a capital city. Home to lions rhinos leopards and over 400 bird species with Nairobi skyline as backdrop. Price: 20-50 USD. Opening hours: 6am-6pm daily. Tips: Go early morning for best wildlife sightings. Free entry for children under 3."
Karura Forest,Nairobi,Nairobi,Kenya,Nature Park,Urban forest in Nairobi with walking and cycling trails waterfalls and caves. Perfect for morning runs and picnics,5-10 USD,6am-6pm daily,Tribe Hotel|Sankara Nairobi,Bring a picnic. Cycling bikes available for hire at the gate,"Attraction: Karura Forest. Location: Nairobi, Kenya. Type: Nature Park. Description: Urban forest in Nairobi with walking and cycling trails waterfalls and caves. Perfect for morning runs and picnics. Price: 5-10 USD. Opening hours: 6am-6pm daily. Tips: Bring a picnic. Cycling bikes available for hire at the gate."
David Sheldrick Wildlife Trust,Nairobi,Nairobi,Kenya,Wildlife Sanctuary,Famous elephant orphanage where rescued baby elephants are raised. Daily feeding at 11am is a highlight,15 USD,11am-12pm daily,Ole Sereni|Fairmont Norfolk,Book online in advance. Arrive by 10:45am to get a good spot,"Attraction: David Sheldrick Wildlife Trust. Location: Nairobi, Kenya. Type: Wildlife Sanctuary. Description: Famous elephant orphanage where rescued baby elephants are raised. Daily feeding at 11am is a highlight. Price: 15 USD. Opening hours: 11am-12pm daily. Tips: Book online in advance. Arrive by 10:45am to get a good spot."
Giraffe Centre,Nairobi,Nairobi,Kenya,Wildlife Sanctuary,Feed Rothschild giraffes up close at this conservation centre in Karen. Great for families and children,10-15 USD,9am-5pm daily,Sarova Stanley|Tribe Hotel,Buy giraffe pellets at the entrance. Best visited in the morning before crowds,"Attraction: Giraffe Centre. Location: Nairobi, Kenya. Type: Wildlife Sanctuary. Description: Feed Rothschild giraffes up close at this conservation centre in Karen. Great for families and children. Price: 10-15 USD. Opening hours: 9am-5pm daily. Tips: Buy giraffe pellets at the entrance. Best visited in the morning before crowds."
Nairobi National Museum,Nairobi,Nairobi,Kenya,Museum,Kenya's premier museum with natural history human evolution exhibits and contemporary art gallery,10-15 USD,8:30am-5:30pm daily,Hilton Nairobi|Crowne Plaza,Allow at least 2 hours. The Snake Park next door is included in the ticket,"Attraction: Nairobi National Museum. Location: Nairobi, Kenya. Type: Museum. Description: Kenya's premier museum with natural history human evolution exhibits and contemporary art gallery. Price: 10-15 USD. Opening hours: 8:30am-5:30pm daily. Tips: Allow at least 2 hours. The Snake Park next door is included in the ticket."
Hell's Gate National Park,Naivasha,Nakuru,Kenya,National Park,Unique park where you can cycle and walk among zebras and giraffes. Features dramatic gorges hot springs and towering cliffs,15-30 USD,6am-6pm daily,Enashipai Resort|Great Rift Valley Lodge,Hire a bicycle at the gate. Fischer's Tower rock climbing is popular. Bring water,"Attraction: Hell's Gate National Park. Location: Naivasha, Kenya. Type: National Park. Description: Unique park where you can cycle and walk among zebras and giraffes. Features dramatic gorges hot springs and towering cliffs. Price: 15-30 USD. Opening hours: 6am-6pm daily. Tips: Hire a bicycle at the gate. Fischer's Tower rock climbing is popular. Bring water."
Crescent Island,Naivasha,Nakuru,Kenya,Wildlife Sanctuary,Private island sanctuary on Lake Naivasha where you walk among zebras wildebeest and giraffes with no predators,15-25 USD,7am-6pm daily,Enashipai Resort|Sawela Lodges,Reached by boat from Hippo Point. Bring sunscreen as there is no shade,"Attraction: Crescent Island. Location: Naivasha, Kenya. Type: Wildlife Sanctuary. Description: Private island sanctuary on Lake Naivasha where you walk among zebras wildebeest and giraffes with no predators. Price: 15-25 USD. Opening hours: 7am-6pm daily. Tips: Reached by boat from Hippo Point. Bring sunscreen as there is no shade."
Lake Nakuru National Park,Nakuru,Nakuru,Kenya,National Park,Famous for flamingos rhinos leopards and lions. One of Africa's most rewarding parks in terms of density of wildlife,25-50 USD,6am-6pm daily,Sarova Lion Hill|Lake Nakuru Lodge,Best flamingo viewing is at the southern end of the lake. Rhinos often seen near Makalia Falls,"Attraction: Lake Nakuru National Park. Location: Nakuru, Kenya. Type: National Park. Description: Famous for flamingos rhinos leopards and lions. One of Africa's most rewarding parks in terms of density of wildlife. Price: 25-50 USD. Opening hours: 6am-6pm daily. Tips: Best flamingo viewing is at the southern end of the lake. Rhinos often seen near Makalia Falls."
Maasai Mara National Reserve,Maasai Mara,Narok,Kenya,Game Reserve,Kenya's most famous game reserve. Home to the Great Migration July to October when over 2 million wildebeest cross the Mara River,80-100 USD,6am-6pm daily,Governors Camp|Angama Mara|Mara Serena,Book accommodation 6 months in advance for migration season. Hot air balloon safaris are unforgettable,"Attraction: Maasai Mara National Reserve. Location: Maasai Mara, Kenya. Type: Game Reserve. Description: Kenya's most famous game reserve. Home to the Great Migration July to October when over 2 million wildebeest cross the Mara River. Price: 80-100 USD. Opening hours: 6am-6pm daily. Tips: Book accommodation 6 months in advance for migration season. Hot air balloon safaris are unforgettable."
Amboseli National Park,Amboseli,Kajiado,Kenya,National Park,Best place in Africa to see elephants up close with Mount Kilimanjaro as backdrop. Over 1600 elephants roam the park,50-80 USD,6am-6pm daily,Amboseli Serena|Ol Tukai Lodge,Observation Hill gives panoramic views at sunset. Dust can be heavy so bring a buff or scarf,"Attraction: Amboseli National Park. Location: Amboseli, Kenya. Type: National Park. Description: Best place in Africa to see elephants up close with Mount Kilimanjaro as backdrop. Over 1600 elephants roam the park. Price: 50-80 USD. Opening hours: 6am-6pm daily. Tips: Observation Hill gives panoramic views at sunset. Dust can be heavy so bring a buff or scarf."
Fort Jesus,Mombasa,Mombasa,Kenya,Historical Site,16th century Portuguese fort and UNESCO World Heritage Site with fascinating history of coastal Kenya,1200 KES,8am-6pm daily,English Point Marina|Mövenpick Mombasa,Hire a guide at the entrance for much richer experience. Allow 2 hours,"Attraction: Fort Jesus. Location: Mombasa, Kenya. Type: Historical Site. Description: 16th century Portuguese fort and UNESCO World Heritage Site with fascinating history of coastal Kenya. Price: 1200 KES. Opening hours: 8am-6pm daily. Tips: Hire a guide at the entrance for much richer experience. Allow 2 hours."
Diani Beach,Diani,Kwale,Kenya,Beach,Consistently ranked among Africa's best beaches. 17km of white sand and turquoise water with excellent snorkeling and water sports,Free,Open always,Diani Reef|Baobab Beach|Almanara,High tide covers most of the beach. Low tide is best for walking. Beware of strong currents during long rains,"Attraction: Diani Beach. Location: Diani, Kenya. Type: Beach. Description: Consistently ranked among Africa's best beaches. 17km of white sand and turquoise water with excellent snorkeling and water sports. Price: Free. Opening hours: Open always. Tips: High tide covers most of the beach. Low tide is best for walking. Beware of strong currents during long rains."
Watamu Marine National Park,Watamu,Kilifi,Kenya,Marine Park,World class snorkeling and diving with turtles whale sharks and coral gardens. One of Kenya's most biodiverse marine areas,20-30 USD,6am-6pm daily,Hemingways Watamu|Turtle Bay Beach,Hire snorkeling gear at the park gate. Turtle nesting season November to March is magical,"Attraction: Watamu Marine National Park. Location: Watamu, Kenya. Type: Marine Park. Description: World class snorkeling and diving with turtles whale sharks and coral gardens. One of Kenya's most biodiverse marine areas. Price: 20-30 USD. Opening hours: 6am-6pm daily. Tips: Hire snorkeling gear at the park gate. Turtle nesting season November to March is magical."
Arabuko Sokoke Forest,Watamu,Kilifi,Kenya,Forest Reserve,Largest remaining coastal forest in East Africa. Home to rare birds and Clarke's weaver. Excellent for birding and nature walks,10-15 USD,6am-6pm daily,Hemingways Watamu|Medina Palms,Hire a guide from the forest station for best bird sightings. Go early morning,"Attraction: Arabuko Sokoke Forest. Location: Watamu, Kenya. Type: Forest Reserve. Description: Largest remaining coastal forest in East Africa. Home to rare birds and Clarke's weaver. Excellent for birding and nature walks. Price: 10-15 USD. Opening hours: 6am-6pm daily. Tips: Hire a guide from the forest station for best bird sightings. Go early morning."
Lamu Old Town,Lamu,Lamu,Kenya,UNESCO Heritage Site,Best preserved Swahili settlement in East Africa and UNESCO World Heritage Site. No cars only donkeys and boats,Free to walk,Open always,Peponi Hotel|Lamu House Hotel,Wear modest clothing. Hire a local guide for cultural insights. Bargain respectfully in the markets,"Attraction: Lamu Old Town. Location: Lamu, Kenya. Type: UNESCO Heritage Site. Description: Best preserved Swahili settlement in East Africa and UNESCO World Heritage Site. No cars only donkeys and boats. Price: Free to walk. Opening hours: Open always. Tips: Wear modest clothing. Hire a local guide for cultural insights. Bargain respectfully in the markets."
Jozani Forest,Zanzibar,Zanzibar,Tanzania,Forest Reserve,Only national park in Zanzibar. Home to the endangered red colobus monkey found nowhere else on earth,10-15 USD,7:30am-5pm daily,Baraza Resort|Zanzibar Beach Resort,Visit in the morning when monkeys are most active. Guided walks last about 1 hour,"Attraction: Jozani Forest. Location: Zanzibar, Tanzania. Type: Forest Reserve. Description: Only national park in Zanzibar. Home to the endangered red colobus monkey found nowhere else on earth. Price: 10-15 USD. Opening hours: 7:30am-5pm daily. Tips: Visit in the morning when monkeys are most active. Guided walks last about 1 hour."
Nungwi Beach,Nungwi,Zanzibar,Tanzania,Beach,Northernmost beach in Zanzibar known for its stunning sunsets dhow building village and lively beach bars,Free,Open always,Zanzibar Beach Resort|Kilindi Zanzibar,Visit the dhow building village nearby. Sunset cocktails at beach bars are a must,"Attraction: Nungwi Beach. Location: Nungwi, Tanzania. Type: Beach. Description: Northernmost beach in Zanzibar known for its stunning sunsets dhow building village and lively beach bars. Price: Free. Opening hours: Open always. Tips: Visit the dhow building village nearby. Sunset cocktails at beach bars are a must."
Stone Town,Stone Town,Zanzibar,Tanzania,Cultural Site,Historic heart of Zanzibar City with winding alleys carved doors spice markets and rich Swahili Arab Indian history,Free to walk,Open always,Zanzibar Serena|JW Marriott Zanzibar,Join a spice tour for a half day experience. Evening food tour at Forodhani Gardens is unmissable,"Attraction: Stone Town. Location: Stone Town, Tanzania. Type: Cultural Site. Description: Historic heart of Zanzibar City with winding alleys carved doors spice markets and rich Swahili Arab Indian history. Price: Free to walk. Opening hours: Open always. Tips: Join a spice tour for a half day experience. Evening food tour at Forodhani Gardens is unmissable."
Murchison Falls,Murchison Falls,Masindi,Uganda,Natural Wonder,World's most powerful waterfall where the entire Nile forces through a 7 metre gap. Spectacular boat cruise from below,40-50 USD,6am-7pm daily,Murchison River Lodge,Boat cruise to the base of the falls is the highlight. Game drives along the Nile are excellent,"Attraction: Murchison Falls. Location: Murchison Falls, Uganda. Type: Natural Wonder. Description: World's most powerful waterfall where the entire Nile forces through a 7 metre gap. Spectacular boat cruise from below. Price: 40-50 USD. Opening hours: 6am-7pm daily. Tips: Boat cruise to the base of the falls is the highlight. Game drives along the Nile are excellent."
Bwindi Impenetrable Forest,Bwindi,Kanungu,Uganda,National Park,UNESCO World Heritage Site and home to almost half the world's remaining mountain gorillas. Gorilla trekking is life changing,700 USD permit,6am-6pm daily,Bwindi Lodge,Book gorilla trekking permits months in advance through Uganda Wildlife Authority. Fitness required for the trek,"Attraction: Bwindi Impenetrable Forest. Location: Bwindi, Uganda. Type: National Park. Description: UNESCO World Heritage Site and home to almost half the world's remaining mountain gorillas. Gorilla trekking is life changing. Price: 700 USD permit. Opening hours: 6am-6pm daily. Tips: Book gorilla trekking permits months in advance through Uganda Wildlife Authority. Fitness required for the trek."
Arusha National Park,Arusha,Arusha,Tanzania,National Park,Underrated park near Arusha with Mount Meru flamingos colobus monkeys and stunning montane forest,50 USD,6am-6pm daily,Ngurdoto Mountain Lodge|Arusha Hotel,Canoeing on the alkaline lakes is a unique experience. Mount Meru climb starts here,"Attraction: Arusha National Park. Location: Arusha, Tanzania. Type: National Park. Description: Underrated park near Arusha with Mount Meru flamingos colobus monkeys and stunning montane forest. Price: 50 USD. Opening hours: 6am-6pm daily. Tips: Canoeing on the alkaline lakes is a unique experience. Mount Meru climb starts here."
Serengeti National Park,Arusha,Arusha,Tanzania,National Park,Africa's most famous national park covering 15000 square kilometres with the greatest concentration of wildlife on earth,70 USD,6am-6pm daily,Serena Kilimanjaro,Best combined with Ngorongoro Crater. The annual wildebeest migration mirrors the Maasai Mara crossing,"Attraction: Serengeti National Park. Location: Arusha, Tanzania. Type: National Park. Description: Africa's most famous national park covering 15000 square kilometres with the greatest concentration of wildlife on earth. Price: 70 USD. Opening hours: 6am-6pm daily. Tips: Best combined with Ngorongoro Crater. The annual wildebeest migration mirrors the Maasai Mara crossing."
Ngorongoro Crater,Arusha,Arusha,Tanzania,Natural Wonder,World's largest intact volcanic caldera and natural enclosure for over 25000 animals including black rhino lions and flamingos,60 USD conservation fee,6am-6pm daily,Serena Kilimanjaro|Arusha Hotel,Download offline maps as network is poor inside. Picnic lunch inside the crater is popular,"Attraction: Ngorongoro Crater. Location: Arusha, Tanzania. Type: Natural Wonder. Description: World's largest intact volcanic caldera and natural enclosure for over 25000 animals including black rhino lions and flamingos. Price: 60 USD conservation fee. Opening hours: 6am-6pm daily. Tips: Download offline maps as network is poor inside. Picnic lunch inside the crater is popular."
Kasabi Tombs,Kampala,Kampala,Uganda,UNESCO Heritage Site,UNESCO World Heritage Site and burial ground of Buganda kings. Sacred and culturally significant site in Kampala,10 USD,9am-6pm daily,Sheraton Kampala|Kampala Serena,Dress modestly and remove shoes before entering. Hire a guide for cultural context,"Attraction: Kasabi Tombs. Location: Kampala, Uganda. Type: UNESCO Heritage Site. Description: UNESCO World Heritage Site and burial ground of Buganda kings. Sacred and culturally significant site in Kampala. Price: 10 USD. Opening hours: 9am-6pm daily. Tips: Dress modestly and remove shoes before entering. Hire a guide for cultural context."
Lake Victoria,Kisumu,Kisumu,Kenya,Lake,Africa's largest lake and the world's second largest freshwater lake. Sunset boat rides fishing and Rusinga Island are highlights,Free,Open always,Acacia Premier|Kiboko Bay Resort,Hippo Point in Kisumu is the best sunset spot. Do not swim due to bilharzia risk,"Attraction: Lake Victoria. Location: Kisumu, Kenya. Type: Lake. Description: Africa's largest lake and the world's second largest freshwater lake. Sunset boat rides fishing and Rusinga Island are highlights. Price: Free. Opening hours: Open always. Tips: Hippo Point in Kisumu is the best sunset spot. Do not swim due to bilharzia risk."
