name,location,county,country,description,opening_hours,highlights,nearby_hotels,parking,tips,combined_text
The Junction Mall,Nairobi,Nairobi,Kenya,Modern upscale mall in Ngong Road with great dining shopping and entertainment,9am-9pm daily,Carrefour Supermarket|Cinema|Food Court|Zara|Nike|Restaurants,Sarova Stanley|Fairmont Norfolk,Free parking,The Junction Food Court has excellent variety. Good place to buy SIM cards and local snacks,"Mall: The Junction Mall. Location: Nairobi, Kenya. Description: Modern upscale mall in Ngong Road with great dining shopping and entertainment. Opening hours: 9am-9pm daily. Highlights: Carrefour Supermarket, Cinema, Food Court, Zara, Nike, Restaurants. Tips: The Junction Food Court has excellent variety. Good place to buy SIM cards and local snacks."
Village Market,Nairobi,Nairobi,Kenya,Large mall in Gigiri near embassies with outdoor market feel and great restaurants,9am-9pm daily,Nakumatt|Food Court|Kids Entertainment|Outdoor Market|Swimming Pool,Tribe Hotel,Free parking,The curio market has quality crafts at fair prices. Great food court with international options,"Mall: Village Market. Location: Nairobi, Kenya. Description: Large mall in Gigiri near embassies with outdoor market feel and great restaurants. Opening hours: 9am-9pm daily. Highlights: Nakumatt, Food Court, Kids Entertainment, Outdoor Market, Swimming Pool. Tips: The curio market has quality crafts at fair prices. Great food court with international options."
Westgate Shopping Mall,Nairobi,Nairobi,Kenya,Upscale mall in Westlands with international brands and excellent dining options,9am-9pm daily,Java House|Artcaffe|International Brands|Supermarket|Gym,Sankara Nairobi,Paid parking,Security is thorough at the entrance. Java House here is a great breakfast spot,"Mall: Westgate Shopping Mall. Location: Nairobi, Kenya. Description: Upscale mall in Westlands with international brands and excellent dining options. Opening hours: 9am-9pm daily. Highlights: Java House, Artcaffe, International Brands, Supermarket, Gym. Tips: Security is thorough at the entrance. Java House here is a great breakfast spot."
Sarit Centre,Nairobi,Nairobi,Kenya,One of Nairobi's oldest and most popular malls in Westlands with wide variety of shops,9am-9pm daily,Nakumatt|Cinemas|Food Court|Bookshop|Banking,Sankara Nairobi,Free parking,Very busy on weekends. Good for buying books maps and travel essentials,"Mall: Sarit Centre. Location: Nairobi, Kenya. Description: One of Nairobi's oldest and most popular malls in Westlands with wide variety of shops. Opening hours: 9am-9pm daily. Highlights: Nakumatt, Cinemas, Food Court, Bookshop, Banking. Tips: Very busy on weekends. Good for buying books maps and travel essentials."
Two Rivers Mall,Nairobi,Nairobi,Kenya,Largest mall in East Africa with over 200 stores a waterpark and entertainment complex,9am-9pm daily,Carrefour|Cinemas|Water Park|International Brands|Food Court|Ice Rink,Tribe Hotel,Free parking,Allow a full day if visiting with children. The water park is excellent for families,"Mall: Two Rivers Mall. Location: Nairobi, Kenya. Description: Largest mall in East Africa with over 200 stores a waterpark and entertainment complex. Opening hours: 9am-9pm daily. Highlights: Carrefour, Cinemas, Water Park, International Brands, Food Court, Ice Rink. Tips: Allow a full day if visiting with children. The water park is excellent for families."
The Hub Karen,Nairobi,Nairobi,Kenya,Upmarket open air mall in Karen suburb with artisan feel and great restaurants,9am-9pm daily,Artcaffe|Wine and Cheese|Specialty Shops|Farmers Market on weekends,Giraffe Centre nearby,Free parking,Saturday farmers market is excellent for fresh produce and local products,"Mall: The Hub Karen. Location: Nairobi, Kenya. Description: Upmarket open air mall in Karen suburb with artisan feel and great restaurants. Opening hours: 9am-9pm daily. Highlights: Artcaffe, Wine and Cheese, Specialty Shops, Farmers Market on weekends. Tips: Saturday farmers market is excellent for fresh produce and local products."
Garden City Mall,Nairobi,Nairobi,Kenya,Large modern mall along Thika Road with good variety of shops and restaurants,9am-9pm daily,Carrefour|Game Store|Cinemas|Food Court|Bowling,Eka Hotel,Free parking,Good Carrefour supermarket for stocking up on supplies before a safari,"Mall: Garden City Mall. Location: Nairobi, Kenya. Description: Large modern mall along Thika Road with good variety of shops and restaurants. Opening hours: 9am-9pm daily. Highlights: Carrefour, Game Store, Cinemas, Food Court, Bowling. Tips: Good Carrefour supermarket for stocking up on supplies before a safari."
City Mall Mombasa,Mombasa,Mombasa,Kenya,Main modern mall on the North Coast serving Nyali and surrounding areas,9am-9pm daily,Nakumatt|Cinemas|Food Court|Banking|Pharmacy,Nyali Sun Africa,Free parking,Best mall on the coast for international brands and reliable supermarket,"Mall: City Mall Mombasa. Location: Mombasa, Kenya. Description: Main modern mall on the North Coast serving Nyali and surrounding areas. Opening hours: 9am-9pm daily. Highlights: Nakumatt, Cinemas, Food Court, Banking, Pharmacy. Tips: Best mall on the coast for international brands and reliable supermarket."
Nyali Cinemax,Mombasa,Mombasa,Kenya,Entertainment and shopping complex in Nyali with cinema and restaurants,10am-10pm daily,Cinemas|Restaurants|Fast Food|Gaming,Nyali Sun Africa,Free parking,Good option for an evening out on the North Coast. Air conditioned and comfortable,"Mall: Nyali Cinemax. Location: Mombasa, Kenya. Description: Entertainment and shopping complex in Nyali with cinema and restaurants. Opening hours: 10am-10pm daily. Highlights: Cinemas, Restaurants, Fast Food, Gaming. Tips: Good option for an evening out on the North Coast. Air conditioned and comfortable."
Diani Shopping Centre,Diani,Kwale,Kenya,Main shopping area in Diani with supermarkets pharmacies and services,8am-8pm daily,Nakumatt|Pharmacy|ATM|Local Shops|Travel Agent,Diani Reef|Baobab Beach,Street parking,The main Nakumatt here is well stocked for beach supplies and groceries,"Mall: Diani Shopping Centre. Location: Diani, Kenya. Description: Main shopping area in Diani with supermarkets pharmacies and services. Opening hours: 8am-8pm daily. Highlights: Nakumatt, Pharmacy, ATM, Local Shops, Travel Agent. Tips: The main Nakumatt here is well stocked for beach supplies and groceries."
Zucchini Diani,Diani,Kwale,Kenya,Popular deli and grocery store in Diani loved by expats and tourists for quality products,8am-7pm daily,Fresh Produce|Deli|Wine|Imported Goods|Bakery,Almanara|AfroChic,Street parking,Best place for quality wine cheese and deli products on the South Coast,"Mall: Zucchini Diani. Location: Diani, Kenya. Description: Popular deli and grocery store in Diani loved by expats and tourists for quality products. Opening hours: 8am-7pm daily. Highlights: Fresh Produce, Deli, Wine, Imported Goods, Bakery. Tips: Best place for quality wine cheese and deli products on the South Coast."
Forodhani Gardens,Stone Town,Zanzibar,Tanzania,Famous outdoor night food market in Stone Town with Zanzibar street food,6pm-11pm daily,Zanzibar Pizza|Fresh Seafood|Sugarcane Juice|Local Snacks,Zanzibar Serena,No parking walk only,Try the Zanzibar pizza which is a unique stuffed crepe. Negotiate prices before ordering. Go hungry,"Mall: Forodhani Gardens. Location: Stone Town, Tanzania. Description: Famous outdoor night food market in Stone Town with Zanzibar street food. Opening hours: 6pm-11pm daily. Highlights: Zanzibar Pizza, Fresh Seafood, Sugarcane Juice, Local Snacks. Tips: Try the Zanzibar pizza which is a unique stuffed crepe. Negotiate prices before ordering. Go hungry."
Mlimani City Mall,Dar es Salaam,Dar es Salaam,Tanzania,Largest mall in Dar es Salaam with wide variety of shops and entertainment,9am-9pm daily,Shoprite|Cinemas|Food Court|International Brands|Gym,Southern Sun Dar es Salaam,Free parking,Good Shoprite supermarket for supplies. Cinemas show latest international films,"Mall: Mlimani City Mall. Location: Dar es Salaam, Tanzania. Description: Largest mall in Dar es Salaam with wide variety of shops and entertainment. Opening hours: 9am-9pm daily. Highlights: Shoprite, Cinemas, Food Court, International Brands, Gym. Tips: Good Shoprite supermarket for supplies. Cinemas show latest international films."
Slipway Shopping Centre,Dar es Salaam,Dar es Salaam,Tanzania,Waterfront shopping and dining complex in Msasani Peninsula with harbour views,9am-9pm daily,Restaurants|Craft Market|Boat Trips|Supermarket|Art Gallery,Hyatt Regency Dar es Salaam,Free parking,Beautiful sunset views from the waterfront restaurants. Good craft market for souvenirs,"Mall: Slipway Shopping Centre. Location: Dar es Salaam, Tanzania. Description: Waterfront shopping and dining complex in Msasani Peninsula with harbour views. Opening hours: 9am-9pm daily. Highlights: Restaurants, Craft Market, Boat Trips, Supermarket, Art Gallery. Tips: Beautiful sunset views from the waterfront restaurants. Good craft market for souvenirs."
Garden Mall Kampala,Kampala,Kampala,Uganda,Modern mall in central Kampala with good variety of shops and restaurants,9am-9pm daily,Shoprite|Food Court|Banking|Pharmacy|Clothing,Sheraton Kampala,Free parking,Convenient location in the city centre. Good for buying Ugandan crafts and supplies,"Mall: Garden Mall Kampala. Location: Kampala, Uganda. Description: Modern mall in central Kampala with good variety of shops and restaurants. Opening hours: 9am-9pm daily. Highlights: Shoprite, Food Court, Banking, Pharmacy, Clothing. Tips: Convenient location in the city centre. Good for buying Ugandan crafts and supplies."
Acacia Mall Kampala,Kampala,Kampala,Uganda,Upscale mall in the Kololo diplomatic area popular with expats and tourists,9am-9pm daily,Quality Supermarket|Restaurants|Gym|Pharmacy|International Brands,Kampala Serena,Free parking,Quality Supermarket here is the best stocked in Kampala for imported goods,"Mall: Acacia Mall Kampala. Location: Kampala, Uganda. Description: Upscale mall in the Kololo diplomatic area popular with expats and tourists. Opening hours: 9am-9pm daily. Highlights: Quality Supermarket, Restaurants, Gym, Pharmacy, International Brands. Tips: Quality Supermarket here is the best stocked in Kampala for imported goods."
Arena Mall Nairobi,Nairobi,Nairobi,Kenya,Entertainment focused mall along Mombasa Road with cinema bowling and restaurants,10am-10pm daily,Cinemas|Bowling|Food Court|Gaming|Restaurants,Eka Hotel,Free parking,Great for an entertainment evening. Good cinema complex with recliner seats,"Mall: Arena Mall Nairobi. Location: Nairobi, Kenya. Description: Entertainment focused mall along Mombasa Road with cinema bowling and restaurants. Opening hours: 10am-10pm daily. Highlights: Cinemas, Bowling, Food Court, Gaming, Restaurants. Tips: Great for an entertainment evening. Good cinema complex with recliner seats."
Arusha City Mall,Arusha,Arusha,Tanzania,Main shopping mall in Arusha town with supermarket and shops,9am-8pm daily,Shoprite|Pharmacy|Restaurants|Banking|Travel Agents,Arusha Hotel|Protea Hotel,Free parking,Good place to stock up before a safari or Kilimanjaro climb. Travel agents here can arrange last minute tours,"Mall: Arusha City Mall. Location: Arusha, Tanzania. Description: Main shopping mall in Arusha town with supermarket and shops. Opening hours: 9am-8pm daily. Highlights: Shoprite, Pharmacy, Restaurants, Banking, Travel Agents. Tips: Good place to stock up before a safari or Kilimanjaro climb. Travel agents here can arrange last minute tours."
